ID do hospedeiro;nome do hospedeiro;Cidade;Bairro;Tipo de Imovel;pre�o;minimo de noite;numero de avalia��es;ultima avalia��o;avalia��es por m�s;contagem calculada de listagens de hospede;disponibilidade 365;;
2787;John;Brooklyn;Kensington;Private room;149;1;9;19/10/2018;0.21;6;365;;
2845;Jennifer;Manhattan;Midtown;Entire home/apt;225;1;45;21/05/2019;0.38;2;355;;
4632;Elisabeth;Manhattan;Harlem;Private room;150;3;0;;;1;365;;
4869;LisaRoxanne;Brooklyn;Clinton Hill;Entire home/apt;89;1;270;05/07/2019;4.64;1;194;;
7192;Laura;Manhattan;East Harlem;Entire home/apt;80;10;9;19/11/2018;0.10;1;0;;
7322;Chris;Manhattan;Murray Hill;Entire home/apt;200;3;74;22/06/2019;0.59;1;129;;
7356;Garon;Brooklyn;Bedford-Stuyvesant;Private room;60;45;49;05/10/2017;0.40;1;0;;
8967;Shunichi;Manhattan;Hell's Kitchen;Private room;79;2;430;24/06/2019;3.47;1;220;;
7490;MaryEllen;Manhattan;Upper West Side;Private room;79;2;118;21/07/2017;0.99;1;0;;
7549;Ben;Manhattan;Chinatown;Entire home/apt;150;1;160;09/06/2019;1.33;4;188;;
7702;Lena;Manhattan;Upper West Side;Entire home/apt;135;5;53;22/06/2019;0.43;1;6;;
7989;Kate;Manhattan;Hell's Kitchen;Private room;85;2;188;23/06/2019;1.50;1;39;;
9744;Laurie;Brooklyn;South Slope;Private room;89;4;167;24/06/2019;1.34;3;314;;
11528;Claudio;Manhattan;Upper West Side;Private room;85;2;113;05/07/2019;0.91;1;333;;
11975;Alina;Manhattan;West Village;Entire home/apt;120;90;27;31/10/2018;0.22;1;0;;
15991;Allen & Irina;Brooklyn;Williamsburg;Entire home/apt;140;2;148;29/06/2019;1.20;1;46;;
17571;Jane;Brooklyn;Fort Greene;Entire home/apt;215;2;198;28/06/2019;1.72;1;321;;
18946;Doti;Manhattan;Chelsea;Private room;140;1;260;01/07/2019;2.12;1;12;;
20950;Adam And Charity;Brooklyn;Crown Heights;Entire home/apt;99;3;53;22/06/2019;4.44;1;21;;
17985;Sing;Manhattan;East Harlem;Entire home/apt;190;7;0;;;2;249;;
21207;Chaya;Brooklyn;Williamsburg;Entire home/apt;299;3;9;28/12/2011;0.07;1;0;;
22486;Lisel;Brooklyn;Park Slope;Private room;130;2;130;01/07/2019;1.09;6;347;;
22486;Lisel;Brooklyn;Park Slope;Private room;80;1;39;01/01/2019;0.37;6;364;;
22486;Lisel;Brooklyn;Park Slope;Private room;110;2;71;02/07/2019;0.61;6;304;;
25183;Nathalie;Brooklyn;Bedford-Stuyvesant;Entire home/apt;120;2;88;19/06/2019;0.73;2;233;;
25326;Gregory;Brooklyn;Windsor Terrace;Private room;60;1;19;23/06/2019;1.37;2;85;;
26394;Claude & Sophie;Manhattan;Inwood;Private room;80;4;0;;;1;0;;
30193;Tommi;Manhattan;Hell's Kitchen;Entire home/apt;150;10;58;13/08/2017;0.49;1;75;;
31374;Shon;Manhattan;Inwood;Private room;44;3;108;15/06/2019;1.11;3;311;;
21904;Dana;Manhattan;East Village;Entire home/apt;180;14;29;19/04/2019;0.24;1;67;;
32294;Ssameer Or Trip;Manhattan;Harlem;Private room;50;3;242;01/06/2019;2.04;3;355;;
32045;Teri;Manhattan;Harlem;Private room;52;2;88;14/06/2019;1.42;1;255;;
32169;Andrea;Brooklyn;Greenpoint;Private room;55;4;197;15/06/2019;1.65;3;284;;
32294;Ssameer Or Trip;Manhattan;Harlem;Private room;50;3;273;01/07/2019;2.37;3;359;;
35935;Angela;Brooklyn;Bedford-Stuyvesant;Private room;70;1;74;12/05/2019;0.66;2;269;;
;;;;;;;;;;;;;
7355;Vt;Brooklyn;Bedford-Stuyvesant;Private room;35;60;0;;;1;365;;
44145;Tyrome;Brooklyn;Bushwick;Entire home/apt;85;2;231;22/06/2019;1.96;2;22;;
45445;Harriet;Brooklyn;Flatbush;Private room;150;1;0;;;1;365;;
